tweet,sentiment
This app makes my life so much easier love it!,positive
Weather is neither too hot nor too cold today.,neutral
Customer support was helpful enough to solve the issue.,neutral
Got a perfect score on my exam so happy!,positive
Got my results today they were what I expected.,neutral
Service was painfully slow and staff were rude!,negative
Terrible customer service waited 3 hours with no help!,negative
This app keeps crashing and losing all my data!,negative
Wonderful experience at the restaurant!,positive
So angry about the unfair treatment I received!,negative
Such a productive day got everything done!,positive
Event had good and bad moments overall balanced.,neutral
So frustrated with the constant delays on my flight!,negative
Event had good and bad moments overall balanced.,neutral
Just finished my workout feeling incredible!,positive
Wonderful experience at the restaurant!,positive
Restaurant was okay prices are reasonable.,neutral
The new features are awesome really enjoying it!,positive
The service was okay nothing special about it.,neutral
Absolutely horrible experience I want a full refund!,negative
Food delivery was fast and delicious today!,positive
Loving every moment of this holiday pure bliss!,positive
Just adopted a puppy she is the cutest thing ever!,positive
Hours on hold with support and still no solution!,negative
Product does what it claims nothing more nothing less.,neutral
Had the best vacation truly unforgettable!,positive
Such a productive day got everything done!,positive
Just had lunch at the new place it was alright.,neutral
This movie was absolutely fantastic!,positive
Had a meeting this morning it went as expected.,neutral
Weekend was quiet just relaxed at home.,neutral
"Amazing support team, very helpful!",positive
Movie was a complete waste of my time and money!,negative
This is the worst product I have ever bought!,negative
Loving every moment of this holiday pure bliss!,positive
Got a perfect score on my exam so happy!,positive
Conference was informative covered expected topics.,neutral
So proud of my daughter for graduating today!,positive
Wonderful experience at the restaurant!,positive
So happy to see my family after a long time!,positive
Subscription charged twice and no one is helping!,negative
So happy to see my family after a long time!,positive
Finished the report on time met all requirements.,neutral
Got my results today they were what I expected.,neutral
So disappointed with the service they let me down again!,negative
Absolutely horrible experience I want a full refund!,negative
Absolutely delighted with the results exceeded expectations!,positive
Absolutely disgusted with the quality of food here!,negative
Incredible concert last night the energy was electric!,positive
Movie was a complete waste of my time and money!,negative
So proud of my daughter for graduating today!,positive
Absolutely horrible experience I want a full refund!,negative
Had annual checkup everything within normal range.,neutral
Worst experience with delivery today package lost!,negative
Commute today was typical about thirty minutes.,neutral
Such a productive day got everything done!,positive
This app makes my life so much easier love it!,positive
Restaurant was okay prices are reasonable.,neutral
Worst experience with delivery today package lost!,negative
Traffic is unbearable been stuck for two hours!,negative
"Loving the new update, it works really well now!",positive
New update has some changes still getting used to it.,neutral
Traffic is unbearable been stuck for two hours!,negative
So proud of my daughter for graduating today!,positive
Cannot believe how rude the staff was today!,negative
Had annual checkup everything within normal range.,neutral
Day was pretty uneventful just the usual routine.,neutral
"Just got promoted at work, so excited!",positive
Finished reading an amazing book highly recommended!,positive
Event had good and bad moments overall balanced.,neutral
Service was painfully slow and staff were rude!,negative
Got a perfect score on my exam so happy!,positive
Hours on hold with support and still no solution!,negative
Just had lunch at the new place it was alright.,neutral
Worst experience ever never coming back!,negative
"Great customer service, went above and beyond!",positive
So grateful for all the kind messages from friends!,positive
Subscription charged twice and no one is helping!,negative
This update ruined everything that was working before!,negative
Completely let down by the airline missed my connection!,negative
The service was okay nothing special about it.,neutral
Customer support was helpful enough to solve the issue.,neutral
So grateful for all the kind messages from friends!,positive
Had the best vacation truly unforgettable!,positive
So disappointed with the service they let me down again!,negative
Traffic was normal today nothing unusual.,neutral
Day was pretty uneventful just the usual routine.,neutral
Having an amazing day feeling blessed!,positive
My team won the championship best day ever!,positive
Presentation went fine audience seemed moderately interested.,neutral
Absolutely horrible experience I want a full refund!,negative
The service was okay nothing special about it.,neutral
Event had good and bad moments overall balanced.,neutral
Got a perfect score on my exam so happy!,positive
Such a productive day got everything done!,positive
So disappointed with the service they let me down again!,negative
My order arrived damaged and support is ignoring me!,negative
Watched the game last night it was average.,neutral
Worst experience ever never coming back!,negative
Just had lunch at the new place it was alright.,neutral
Wonderful experience at the restaurant!,positive
Just had lunch at the new place it was alright.,neutral
"This coffee is delicious, made my morning better!",positive
So happy to see my family after a long time!,positive
Incredible concert last night the energy was electric!,positive
Restaurant was overpriced and food was cold!,negative
Having an amazing day feeling blessed!,positive
My order arrived damaged and support is ignoring me!,negative
My order arrived damaged and support is ignoring me!,negative
Cannot believe how rude the staff was today!,negative
New update has some changes still getting used to it.,neutral
"Just got promoted at work, so excited!",positive
Day was pretty uneventful just the usual routine.,neutral
Hotel room was dirty and nothing like the pictures!,negative
Hours on hold with support and still no solution!,negative
Subscription charged twice and no one is helping!,negative
Finished the report on time met all requirements.,neutral
Package arrived today exactly as described.,neutral
Failed my exam despite studying hard I am devastated!,negative
Product does what it claims nothing more nothing less.,neutral
Had the best vacation truly unforgettable!,positive
Day was pretty uneventful just the usual routine.,neutral
Having an amazing day feeling blessed!,positive
"Loving the new update, it works really well now!",positive
Cannot believe how rude the staff was today!,negative
Watched the game last night it was average.,neutral
Failed my exam despite studying hard I am devastated!,negative
Really upset about how the situation was handled!,negative
Got my results today they were what I expected.,neutral
New update has some changes still getting used to it.,neutral
Had a meeting this morning it went as expected.,neutral
I love this product so much! Best purchase ever!,positive
Product does what it claims nothing more nothing less.,neutral
The new features are awesome really enjoying it!,positive
This update ruined everything that was working before!,negative
Tried the new coffee shop it was decent enough.,neutral
Package arrived today exactly as described.,neutral
Terrible customer service waited 3 hours with no help!,negative
Got my results today they were what I expected.,neutral
Watched the game last night it was average.,neutral
The service was okay nothing special about it.,neutral
Worst experience ever never coming back!,negative
Absolutely disgusted with the quality of food here!,negative
Really upset about how the situation was handled!,negative
Restaurant was overpriced and food was cold!,negative
Just had lunch at the new place it was alright.,neutral
"This coffee is delicious, made my morning better!",positive
Worst experience ever never coming back!,negative
Weather is neither too hot nor too cold today.,neutral
Movie was a complete waste of my time and money!,negative
Loving every moment of this holiday pure bliss!,positive
Customer support was helpful enough to solve the issue.,neutral
Weather is neither too hot nor too cold today.,neutral
Absolutely delighted with the results exceeded expectations!,positive
Service was painfully slow and staff were rude!,negative
Product broke after one day complete waste of money!,negative
Just finished my workout feeling incredible!,positive
Just had lunch at the new place it was alright.,neutral
Product does what it claims nothing more nothing less.,neutral
New update has some changes still getting used to it.,neutral
The service was okay nothing special about it.,neutral
So frustrated with the constant delays on my flight!,negative
The service was okay nothing special about it.,neutral
Completely let down by the airline missed my connection!,negative
Commute today was typical about thirty minutes.,neutral
My team won the championship best day ever!,positive
This app makes my life so much easier love it!,positive
Restaurant was okay prices are reasonable.,neutral
This is the worst product I have ever bought!,negative
Completely let down by the airline missed my connection!,negative
The new features are awesome really enjoying it!,positive
"This coffee is delicious, made my morning better!",positive
Wonderful experience at the restaurant!,positive
"Just got promoted at work, so excited!",positive
Really upset about how the situation was handled!,negative
Got my results today they were what I expected.,neutral
"Loving the new update, it works really well now!",positive
"Just got promoted at work, so excited!",positive
Absolutely disgusted with the quality of food here!,negative
Package arrived today exactly as described.,neutral
This app makes my life so much easier love it!,positive
Movie had some interesting parts but also slow ones.,neutral
Cannot believe how rude the staff was today!,negative
I love this product so much! Best purchase ever!,positive
My laptop crashed and I lost all important files!,negative
Weather is neither too hot nor too cold today.,neutral
The new features are awesome really enjoying it!,positive
Absolutely delighted with the results exceeded expectations!,positive
Got my results today they were what I expected.,neutral
Absolutely disgusted with the quality of food here!,negative
Wonderful experience at the restaurant!,positive
My laptop crashed and I lost all important files!,negative
This app keeps crashing and losing all my data!,negative
Service was painfully slow and staff were rude!,negative
Traffic was normal today nothing unusual.,neutral
Conference was informative covered expected topics.,neutral
So disappointed with the service they let me down again!,negative
"Amazing support team, very helpful!",positive
My laptop crashed and I lost all important files!,negative
Flight was on time service was standard.,neutral
Presentation went fine audience seemed moderately interested.,neutral
Just had lunch at the new place it was alright.,neutral
Got a perfect score on my exam so happy!,positive
Failed my exam despite studying hard I am devastated!,negative
Hours on hold with support and still no solution!,negative
Conference was informative covered expected topics.,neutral
This app makes my life so much easier love it!,positive
Loving every moment of this holiday pure bliss!,positive
Terrible customer service waited 3 hours with no help!,negative
This app keeps crashing and losing all my data!,negative
"Just got promoted at work, so excited!",positive
Tried the new coffee shop it was decent enough.,neutral
Flight was on time service was standard.,neutral
Such a productive day got everything done!,positive
My team won the championship best day ever!,positive
Food delivery was fast and delicious today!,positive
Having an amazing day feeling blessed!,positive
Package arrived today exactly as described.,neutral
My team won the championship best day ever!,positive
"Just got promoted at work, so excited!",positive
Traffic is unbearable been stuck for two hours!,negative
My laptop crashed and I lost all important files!,negative
This is the worst product I have ever bought!,negative
I love this product so much! Best purchase ever!,positive
Just finished my workout feeling incredible!,positive
Such a productive day got everything done!,positive
Had annual checkup everything within normal range.,neutral
Weather is neither too hot nor too cold today.,neutral
Failed my exam despite studying hard I am devastated!,negative
Hours on hold with support and still no solution!,negative
Software update fixed some bugs but introduced others.,neutral
This movie was absolutely fantastic!,positive
Traffic was normal today nothing unusual.,neutral
"Loving the new update, it works really well now!",positive
Software update fixed some bugs but introduced others.,neutral
Completely let down by the airline missed my connection!,negative
Restaurant was overpriced and food was cold!,negative
Subscription charged twice and no one is helping!,negative
So happy to see my family after a long time!,positive
So frustrated with the constant delays on my flight!,negative
Event had good and bad moments overall balanced.,neutral
"Great customer service, went above and beyond!",positive
"Loving the new update, it works really well now!",positive
This app makes my life so much easier love it!,positive
Movie was a complete waste of my time and money!,negative
Restaurant was okay prices are reasonable.,neutral
My team won the championship best day ever!,positive
Day was pretty uneventful just the usual routine.,neutral
Tried the new coffee shop it was decent enough.,neutral
Subscription charged twice and no one is helping!,negative
Restaurant was okay prices are reasonable.,neutral
"This coffee is delicious, made my morning better!",positive
Terrible customer service waited 3 hours with no help!,negative
Service was painfully slow and staff were rude!,negative
So proud of my daughter for graduating today!,positive
My order arrived damaged and support is ignoring me!,negative
This movie was absolutely fantastic!,positive
"Great customer service, went above and beyond!",positive
Finished the report on time met all requirements.,neutral
Traffic was normal today nothing unusual.,neutral
Worst experience with delivery today package lost!,negative
This is the worst product I have ever bought!,negative
So proud of my daughter for graduating today!,positive
Finished reading an amazing book highly recommended!,positive
Got my results today they were what I expected.,neutral
Absolutely delighted with the results exceeded expectations!,positive
Product does what it claims nothing more nothing less.,neutral
Traffic is unbearable been stuck for two hours!,negative
Food delivery was fast and delicious today!,positive
Traffic was normal today nothing unusual.,neutral
"This coffee is delicious, made my morning better!",positive
My laptop crashed and I lost all important files!,negative
I love this product so much! Best purchase ever!,positive
Tried the new coffee shop it was decent enough.,neutral
Just had lunch at the new place it was alright.,neutral
Tried the new coffee shop it was decent enough.,neutral
Presentation went fine audience seemed moderately interested.,neutral
This update ruined everything that was working before!,negative
Read the new book it was an average read.,neutral
Customer support was helpful enough to solve the issue.,neutral
Watched the game last night it was average.,neutral
Subscription charged twice and no one is helping!,negative
This update ruined everything that was working before!,negative
Product broke after one day complete waste of money!,negative
So grateful for all the kind messages from friends!,positive
The new features are awesome really enjoying it!,positive
Customer support was helpful enough to solve the issue.,neutral
Customer support was helpful enough to solve the issue.,neutral
Just finished my workout feeling incredible!,positive
Watched the game last night it was average.,neutral
Day was pretty uneventful just the usual routine.,neutral
Failed my exam despite studying hard I am devastated!,negative
Software update fixed some bugs but introduced others.,neutral
So grateful for all the kind messages from friends!,positive
So angry about the unfair treatment I received!,negative
"Amazing support team, very helpful!",positive
I love this product so much! Best purchase ever!,positive
This app keeps crashing and losing all my data!,negative
New update has some changes still getting used to it.,neutral
Weekend was quiet just relaxed at home.,neutral
Tried the new coffee shop it was decent enough.,neutral
Absolutely horrible experience I want a full refund!,negative
Product broke after one day complete waste of money!,negative
Weekend was quiet just relaxed at home.,neutral
Finished reading an amazing book highly recommended!,positive
"Amazing support team, very helpful!",positive
Conference was informative covered expected topics.,neutral
Read the new book it was an average read.,neutral
Event had good and bad moments overall balanced.,neutral
So disappointed with the service they let me down again!,negative
Really upset about how the situation was handled!,negative
The service was okay nothing special about it.,neutral
Loving every moment of this holiday pure bliss!,positive
I love this product so much! Best purchase ever!,positive
So frustrated with the constant delays on my flight!,negative
Terrible customer service waited 3 hours with no help!,negative
So angry about the unfair treatment I received!,negative
Movie had some interesting parts but also slow ones.,neutral
Completely let down by the airline missed my connection!,negative
Really upset about how the situation was handled!,negative
Food delivery was fast and delicious today!,positive
So happy to see my family after a long time!,positive
My laptop crashed and I lost all important files!,negative
Had annual checkup everything within normal range.,neutral
Restaurant was overpriced and food was cold!,negative
Wonderful experience at the restaurant!,positive
Flight was on time service was standard.,neutral
My team won the championship best day ever!,positive
Software update fixed some bugs but introduced others.,neutral
Cannot believe how rude the staff was today!,negative
Event had good and bad moments overall balanced.,neutral
Had annual checkup everything within normal range.,neutral
Had the best vacation truly unforgettable!,positive
Wonderful experience at the restaurant!,positive
Software update fixed some bugs but introduced others.,neutral
Software update fixed some bugs but introduced others.,neutral
So proud of my daughter for graduating today!,positive
Just adopted a puppy she is the cutest thing ever!,positive
So happy to see my family after a long time!,positive
Read the new book it was an average read.,neutral
Had a meeting this morning it went as expected.,neutral
Tried the new coffee shop it was decent enough.,neutral
"Great customer service, went above and beyond!",positive
"Amazing support team, very helpful!",positive
Incredible concert last night the energy was electric!,positive
Product does what it claims nothing more nothing less.,neutral
Got my results today they were what I expected.,neutral
Movie had some interesting parts but also slow ones.,neutral
Presentation went fine audience seemed moderately interested.,neutral
Had the best vacation truly unforgettable!,positive
Traffic is unbearable been stuck for two hours!,negative
Terrible customer service waited 3 hours with no help!,negative
Movie had some interesting parts but also slow ones.,neutral
Having an amazing day feeling blessed!,positive
Package arrived today exactly as described.,neutral
Really upset about how the situation was handled!,negative
Product broke after one day complete waste of money!,negative
The new features are awesome really enjoying it!,positive
This is the worst product I have ever bought!,negative
Absolutely disgusted with the quality of food here!,negative
This movie was absolutely fantastic!,positive
Restaurant was okay prices are reasonable.,neutral
Traffic is unbearable been stuck for two hours!,negative
Customer support was helpful enough to solve the issue.,neutral
Flight was on time service was standard.,neutral
Terrible customer service waited 3 hours with no help!,negative
So angry about the unfair treatment I received!,negative
Got my results today they were what I expected.,neutral
Worst experience ever never coming back!,negative
So grateful for all the kind messages from friends!,positive
"Amazing support team, very helpful!",positive
Restaurant was overpriced and food was cold!,negative
Customer support was helpful enough to solve the issue.,neutral
Watched the game last night it was average.,neutral
The service was okay nothing special about it.,neutral
This is the worst product I have ever bought!,negative
Cannot believe how rude the staff was today!,negative
So grateful for all the kind messages from friends!,positive
My order arrived damaged and support is ignoring me!,negative
Package arrived today exactly as described.,neutral
Had a meeting this morning it went as expected.,neutral
Such a productive day got everything done!,positive
Had annual checkup everything within normal range.,neutral
Really upset about how the situation was handled!,negative
Such a productive day got everything done!,positive
Movie was a complete waste of my time and money!,negative
My team won the championship best day ever!,positive
Had a meeting this morning it went as expected.,neutral
My team won the championship best day ever!,positive
Got my results today they were what I expected.,neutral
Terrible customer service waited 3 hours with no help!,negative
Package arrived today exactly as described.,neutral
So angry about the unfair treatment I received!,negative
Had a meeting this morning it went as expected.,neutral
Watched the game last night it was average.,neutral
So grateful for all the kind messages from friends!,positive
Software update fixed some bugs but introduced others.,neutral
Conference was informative covered expected topics.,neutral
Movie had some interesting parts but also slow ones.,neutral
Just adopted a puppy she is the cutest thing ever!,positive
Had the best vacation truly unforgettable!,positive
Just finished my workout feeling incredible!,positive
So frustrated with the constant delays on my flight!,negative
So disappointed with the service they let me down again!,negative
Just finished my workout feeling incredible!,positive
Hours on hold with support and still no solution!,negative
So frustrated with the constant delays on my flight!,negative
Really upset about how the situation was handled!,negative
Movie was a complete waste of my time and money!,negative
Finished reading an amazing book highly recommended!,positive
Hours on hold with support and still no solution!,negative
This app makes my life so much easier love it!,positive
Conference was informative covered expected topics.,neutral
New update has some changes still getting used to it.,neutral
Loving every moment of this holiday pure bliss!,positive
So disappointed with the service they let me down again!,negative
The service was okay nothing special about it.,neutral
This app keeps crashing and losing all my data!,negative
This is the worst product I have ever bought!,negative
Food delivery was fast and delicious today!,positive
Product broke after one day complete waste of money!,negative
Hours on hold with support and still no solution!,negative
Product broke after one day complete waste of money!,negative
Day was pretty uneventful just the usual routine.,neutral
Restaurant was overpriced and food was cold!,negative
This app makes my life so much easier love it!,positive
My laptop crashed and I lost all important files!,negative
Traffic is unbearable been stuck for two hours!,negative
Traffic is unbearable been stuck for two hours!,negative
Completely let down by the airline missed my connection!,negative
Worst experience ever never coming back!,negative
Flight was on time service was standard.,neutral
So frustrated with the constant delays on my flight!,negative
Commute today was typical about thirty minutes.,neutral
Product does what it claims nothing more nothing less.,neutral
Service was painfully slow and staff were rude!,negative
So happy to see my family after a long time!,positive
Having an amazing day feeling blessed!,positive
Failed my exam despite studying hard I am devastated!,negative
Commute today was typical about thirty minutes.,neutral
Day was pretty uneventful just the usual routine.,neutral
This app keeps crashing and losing all my data!,negative
New update has some changes still getting used to it.,neutral
"Just got promoted at work, so excited!",positive
So proud of my daughter for graduating today!,positive
So grateful for all the kind messages from friends!,positive
Product does what it claims nothing more nothing less.,neutral
Incredible concert last night the energy was electric!,positive
So angry about the unfair treatment I received!,negative
Absolutely disgusted with the quality of food here!,negative
